"Id","AthleteId","RecruitType","Year","Ranking","Name","School","CommittedTo","Position","Height","Weight","Stars","Rating","City","StateProvince","Country","HometownInfo Latitude","HometownInfo Longitude","HometownInfo FipsCode"
"71458","4431274","HighSchool","2021","1","Korey Foreman","Centennial","USC","SDE","76","265","5","0.9994","Corona","CA","USA","33.8752945","-117.5664449","06065"
"71459","4431437","HighSchool","2021","2","JC Latham","IMG Academy","Alabama","OT","78","305","5","0.999","Bradenton","FL","USA","27.4989278","-82.5748194","12081"
"71460","","HighSchool","2021","3","J.T. Tuimoloau","Eastside Catholic","","SDE","76","277","5","0.999","Sammamish","WA","USA","47.6088445","-122.0423067","53033"
"71461","4431590","HighSchool","2021","4","Jack Sawyer","Pickerington North","Ohio State","SDE","77","248","5","0.998","Pickerington","OH","USA","39.896277299999994","-82.77319049748806","39045"
"71462","4432667","HighSchool","2021","5","Tommy Brockermeyer","All Saints Episcopal","Alabama","OT","78","283","5","0.9978","Fort Worth","TX","USA","32.753177","-97.3327459","48439"
"71463","4431611","HighSchool","2021","6","Caleb Williams","Gonzaga","Oklahoma","DUAL","73","210","5","0.9971","Washington","DC","USA","38.8949855","-77.0365708","11001"
"71464","4431571","HighSchool","2021","7","Amarius Mims","Bleckley County","Georgia","OT","79","315","5","0.996","Cochran","GA","USA","32.3868278","-83.3546098","13023"
"71465","4565190","HighSchool","2021","8","Dallas Turner","St. Thomas Aquinas","Alabama","WDE","76","245","5","0.9948","Fort Lauderdale","FL","USA","26.1223084","-80.1433786","12011"
"71466","4567750","HighSchool","2021","9","Emeka Egbuka","Steilacoom","Ohio State","WR","73","190","5","0.9947","Steilacoom","WA","USA","47.1703692","-122.5962874","53053"
"71467","4431598","HighSchool","2021","10","Leonard Taylor","Miami Palmetto","Miami","DT","76","265","5","0.9941","Miami","FL","USA","25.7742658","-80.1936589","12086"
"71469","4567748","HighSchool","2021","11","Sam Huard","Kennedy Catholic","Washington","PRO","74","190","5","0.9936","Bellevue","WA","USA","47.6144219","-122.1923372","53033"
"71478","4431588","HighSchool","2021","12","Ja'Tavion Sanders","Ryan","Texas","ATH","75","235","5","0.9933","Denton","TX","USA","33.2150386","-97.1330516","48121"
"71468","4431443","HighSchool","2021","13","Tristan Leigh","Robinson Secondary","Clemson","OT","77","270","5","0.9922","Fairfax","VA","USA","38.8462236","-77.3063733","51600"
"71470","4431613","HighSchool","2021","14","James Williams","American Heritage","Miami","S","77","218","5","0.9922","Opa Locka","FL","USA","25.896733849999997","-80.25949640850294","12086"
"71472","4431587","HighSchool","2021","15","Nolan Rucci","Warwick","Wisconsin","OT","80","295","5","0.9911","Lititz","PA","USA","40.1571252","-76.3072103","42071"
"71471","4432782","HighSchool","2021","16","Brock Vandagriff","Prince Avenue Christian School","Georgia","DUAL","75","205","5","0.9909","Bogart","GA","USA","33.949281","-83.534608","13219"
"71480","","HighSchool","2021","17","Ga'Quincy McKinstry","Pinson Valley","Alabama","CB","72","180","5","0.9907","Pinson","AL","USA","33.706205","-86.67007895992774","01073"
"71474","4431553","HighSchool","2021","18","Donovan Jackson","Episcopal","Ohio State","OG","76","308","5","0.9902","Bellaire","TX","USA","29.7057858","-95.4588299","48201"
"71475","4431567","HighSchool","2021","19","Maason Smith","Terrebonne","LSU","DT","77","316","5","0.9899","Houma","LA","USA","29.5957696","-90.7195348","22109"
"71473","4431558","HighSchool","2021","20","Terrence Lewis","Miami Central","Maryland","ILB","73","200","5","0.9895","Opa Locka","FL","USA","25.896733849999997","-80.25949640850294","12086"
"75276","4432804","HighSchool","2021","21","Shemar Turner","DeSoto","Texas A&M","DT","75","282","5","0.9879","DeSoto","TX","USA","32.6061241","-96.865612653687","48113"
"71481","4432710","HighSchool","2021","22","TreVeyon Henderson","Hopewell","Ohio State","RB","71","195","5","0.9874","Hopewell","VA","USA","36.7468036","-79.4639158","51143"
